Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
"Retour au menu ""Public des salles de cinéma""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population cinématographique (15 ans et plus),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population cinématographique,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989.0,1990.0,1991.0,1992.0,1993.0
millions d'individus,-,-,-,-,-,-,-,-,-,18.0,17.7,18.0,18.1,23.6
en % de la population totale,46,46,47,50.1,50.1,47.3,47.5,48.3,44.2,40.8,42.4,42.7,42.6,51.6
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Entrées selon le rythme de fréquentation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989.0,1990.0,1991.0,1992.0,1993.0
assidus,42,40,44,39.9,41,40,36.8,30.2,32.7,28.2,30.7,27.5,24.4,24.5
réguliers,42,42,41,44.2,42.9,46.1,45.7,50.2,45.3,48.8,45.9,53.4,49.1,43.5
occasionnels,16,18,15,15.9,16.1,13.9,17.5,19.6,22,23.0,23.4,19.1,26.5,32.0
total,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0
Source : CNC-CESP.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fréquentation selon l'âge (15 ans et plus),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989.0,1990.0,1991.0,1992.0,
15 - 17 ans,6.235446313065977,6.137647663071393,5.994897959183675,5.877881935647327,5.864661654135339,5.880893300248139,5.904059040590406,5.86080586080586,5.886627906976744,5.773149196287072,5.311004784688995,5.099620493358634,4.878048780487805,
18 - 20 ans,5.950840879689521,5.9578839239856185,5.9438775510204085,5.928553331644286,5.964912280701754,5.880893300248139,5.731857318573185,5.567765567765567,5.59593023255814,5.7052297939778125,5.645933014354066,5.692599620493359,5.4643527204502815,
21 - 24 ans,7.7878395860284595,7.729840780688238,7.704081632653062,7.651380795540917,7.669172932330827,7.6674937965260535,7.675276752767528,7.594627594627594,7.53391472868217,7.357935250169797,7.224880382775119,7.2106261859582546,7.340525328330207,
25 - 34 ans,19.84476067270375,19.67128916281459,19.41326530612245,19.153787686850773,18.99749373433584,18.833746898263026,18.81918819188192,18.705738705738707,18.628875968992247,18.813674439664933,18.492822966507177,18.50094876660342,18.409943714821765,
35 - 49 ans,21.759379042690817,21.982537236774526,22.295918367346943,22.675449708639473,22.882205513784466,23.250620347394538,23.468634686346864,23.907203907203904,24.079457364341085,24.903780846728548,25.071770334928228,25.49810246679317,26.21951219512195,
50 - 64 ans,19.94825355756792,20.518746789933232,21.071428571428573,21.48467190271092,21.578947368421055,21.41439205955335,21.05781057810578,20.708180708180706,20.49418604651163,19.787185872764322,19.880382775119617,19.497153700189756,18.87898686679175,
65 ans et plus,18.47347994825356,18.00205444273241,17.5765306122449,17.228274638966305,17.042606516290725,17.071960297766747,17.343173431734318,17.655677655677657,17.781007751937985,17.659044600407515,18.37320574162679,18.50094876660342,18.808630393996246,
total,100,100,100,100,100,99.99999999999999,99.99999999999999,100,100,100.0,99.99999999999999,100.0,100.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Taux de pénétration (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989.0,1990.0,1991.0,1992.0,
15 - 17 ans,82.2,83.4,83.4,88.1,89.7,84.8,86,86.1,82,81.1,82.2,83.4,80.0,
18 - 20 ans,90.3,91.2,92.5,92.9,94.3,90.1,90.6,88.5,86.6,82.9,86.3,86.1,84.2,
21 - 24 ans,86.5,85.7,85.2,88.5,88.3,85.9,85.2,82.6,80.1,68.1,76.1,76.7,74.9,
25 - 34 ans,63.2,60.6,62.1,67.2,65,60.4,61.3,58.7,53.6,48.9,47.6,49.8,50.4,
35 - 49 ans,42.7,45.3,48,51.3,52.4,49.5,49.6,49.8,44.8,40.4,43.0,42.3,43.4,
50 - 64 ans,21.8,23.2,24.9,27.8,26.9,25.8,24.8,29.9,24.7,24.1,24.9,25.4,25.7,
65 ans et plus,11.4,11.6,12.2,12.8,12.1,12,13.3,17.1,14.6,13.5,16.9,16.6,16.3,
total,45.5,45.9,47.2,50.1,49.9,47.3,47.5,48.3,44.2,40.8,42.4,42.7,42.6,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Structure des entrées (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989.0,1990.0,1991.0,1992.0,
15 - 17 ans,7.9,11.7,9.7,9.7,10,9.3,10.2,10.6,10.8,9.4,8.8,10.4,7.1,
18 - 20 ans,19.6,18.3,17.5,18,17,16.3,14.6,13.5,14.7,15.2,13.7,14.9,14.3,
21 - 24 ans,28.4,24.9,24,22.6,24.4,26.9,24.2,23,21.1,19.9,19.7,17.2,16.9,
25 - 34 ans,24.2,25.6,23.8,26.4,24.3,25,26.4,22.3,26.2,24.7,21.6,21.7,26.2,
35 - 49 ans,12.6,13,15.9,13.3,15.7,14.7,17.3,18,16.6,18.0,21.4,22.0,25.3,
50 - 64 ans,5,4.4,6.7,6.8,6.2,5.9,5.6,8.9,7.4,9.3,7.9,8.2,5.5,
65 ans et plus,2.3,2.1,2.4,3.2,2.4,1.9,1.7,3.7,3.2,3.5,6.9,5.6,4.7,
total,99.99999999999999,100,100.00000000000001,99.99999999999999,100.00000000000001,100.00000000000001,100,100.00000000000001,100.00000000000001,100.0,100.00000000000001,100.0,100.0,
Source : CNC - CESP.,,,,,,,,,,,,,,
